"Dạo này bụng tôi đau bụng từng đợt suốt từ đêm qua","bao_dau_bung"
"Thỉnh thoảng tôi bị bụng nhói thoáng qua mỗi khi tôi hít sâu","bao_dau_bung"
"Tôi cứ cảm giác đau quanh rốn nhẹ nhẹ một chút rồi lại hết","bao_dau_bung"
"Mấy hôm nay tôi bị đau bụng dưới âm ấm khoảng vài tiếng nay","bao_dau_bung"
"Mỗi lần vận động tôi bị bụng nhói thoáng qua lúc tôi đang ngồi","bao_dau_bung"
"Dạo này bụng tôi bụng nhói thoáng qua lúc tôi đang ngồi","bao_dau_bung"
"Tự nhiên tôi thấy bụng ê ê khó tả nhưng vẫn hơi khó chịu","bao_dau_bung"
"Dạo này bụng tôi bụng cứ hơi chướng lên lúc tôi đang ngồi","bao_dau_bung"
"Sáng tới giờ tôi thấy đau bụng âm ỉ khi tôi cúi xuống","bao_dau_bung"
"Thỉnh thoảng tôi bị bụng hơi căng tức lúc tôi đang ngồi","bao_dau_bung"
"Lúc ăn xong tôi cảm thấy bụng cứ hơi chướng lên khi tôi vừa ăn xong","bao_dau_bung"
"Hôm nay tôi cảm nhận đau bụng từng đợt lúc tôi đang ngồi","bao_dau_bung"
"Mấy hôm nay tôi bị đầy hơi khó chịu từ sáng đến giờ","bao_dau_bung"
"Dạo này bụng tôi đau quanh rốn nhẹ nhẹ khoảng vài tiếng nay","bao_dau_bung"
"Gần đây tôi thấy đầy hơi khó chịu mỗi lúc một rõ hơn","bao_dau_bung"
"Tôi cứ cảm giác bụng hơi căng tức lúc tôi đang ngồi","bao_dau_bung"
"Thỉnh thoảng tôi bị bụng ê ê khó tả nhưng vẫn hơi khó chịu","bao_dau_bung"
"Tự nhiên tôi thấy đau bụng dưới âm ấm từ sáng đến giờ","bao_dau_bung"
"Mấy hôm nay tôi bị bụng hơi căng tức suốt từ đêm qua","bao_dau_bung"
"Mấy hôm nay tôi bị bụng cứ hơi chướng lên khi tôi vừa ăn xong","bao_dau_bung"
"Gần đây tôi thấy đau bụng âm ỉ một chút rồi lại hết","bao_dau_bung"
"Sáng tới giờ tôi thấy đau bụng âm ỉ khi tôi vừa ăn xong","bao_dau_bung"
"Tôi cứ cảm giác đau bụng từng đợt nhưng vẫn hơi khó chịu","bao_dau_bung"
"Sáng tới giờ tôi thấy đau bụng từng đợt mỗi lúc một rõ hơn","bao_dau_bung"
"Tự nhiên tôi thấy đau bụng âm ỉ mỗi lúc một rõ hơn","bao_dau_bung"
"Dạo này bụng tôi bụng hơi căng tức suốt từ đêm qua","bao_dau_bung"
"Tôi cứ cảm giác đau bụng dưới âm ấm khi tôi cúi xuống","bao_dau_bung"
"Mấy hôm nay tôi bị đau quanh rốn nhẹ nhẹ khi tôi cúi xuống","bao_dau_bung"
